identifier,dimension,smiles,bus,elements,ms,nms,mo_formula,csdformula
WUZPUD,1,C(=Cc1ccncc1)c1ccncc1,[],"['Mo', 'O']",['Mo'],['O'],Mo4 O13,"(Mo4 O13 2-)n,n(C12 H12 N2 2+)"
XABGUD,1,C1CNCCNC1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn1 P2 H2 O8,"(C5 H14 N2 2+)n,n(H2 O8 P2 Zn1 2-),0.46n(H2 O1)"
XABHAK,2,C1CNCCNC1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn3 P3 H3 O13,"(H3 O13 P3 Zn3 2-)n,n(C5 H14 N2 2+)"
XABHEO,3,C1CNCCNC1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn2 P3 H3 O12,"(C5 H14 N2 2+)n,n(H3 O12 P3 Zn2 2-),n(H2 O1)"
XACHUG,2,c1ccc2ncccc2c1,[1],"['F', 'O', 'P', 'Zr']",['Zr'],"['F', 'O', 'P']",Zr4 P6 H4 O24 F4,"(C9 H8 N1 1+)2n,n(H4 F4 O24 P6 Zr4 2-),n(H2 O1)"
XACLOF,3,CCN,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']",Fe2 H6 C6 O12,"(C6 H6 Fe2 O12 1-)n,n(C2 H8 N1 1+)"
XACLUL,3,CCNCC,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']",Fe2 H6 C6 O12,"(C6 H6 Fe2 O12 1-)n,n(C4 H12 N1 1+)"
XACPEW,3,C1CNCCN1,"[4, 1]","['C', 'Fe', 'O', 'P']",['Fe'],"['C', 'O', 'P']",Fe4 P2 H2 C6 O20,"(C4 H12 N2 2+)n,n(C6 H2 Fe4 O20 P2 2-)"
XACPOG,1,NCCN,[1],"['Fe', 'O', 'P']",['Fe'],"['O', 'P']",Fe2 P4 H6 O18,"(C2 H10 N2 2+)2n,n(H6 Fe2 O18 P4 4-),2n(H2 O1)"
XACPUM,2,NCCN,[1],"['Co', 'F', 'In', 'O', 'P']","['Co', 'In']","['F', 'O', 'P']",In1 Co1 P2 H6 O10 F2,"(C2 H10 N2 2+)n,n(H6 Co1 F2 In1 O10 P2 2-)"
XACQAT,3,NCCCCN,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']",Ga4 P5 H1 O20,"(C4 H14 N2 2+)n,n(H1 Ga4 O20 P5 2-)"
XACQEX,1,N=C(N)N,[1],"['O', 'P', 'V']",['V'],"['O', 'P']",V2 P4 H10 O20,"(C1 H6 N3 1+)2n,n(H10 O20 P4 V2 2-),2n(H2 O1)"
