identifier,dimension,smiles,bus,elements,ms,nms,mo_formula,csdformula
ABAMIC,2,CN1CCN(C)CC1,[0],"['O', 'P', 'V']",['V'],"['O', 'P']",V2 P3 H3 O11,"(H3 O11 P3 V2 2-)n,C6 H16 N2 2+"
ABEDAM,3,NCCCN,[],"['Ge', 'O']",['Ge'],['O'],Ge9 H4 O22,"(C3 H12 N2 2+)2n,n(H4 Ge9 O22 4-),n(H2 O1)"
ABEDEQ,3,C1CNCCN1,[],"['Ge', 'O']",['Ge'],['O'],Ge18 H8 O44,"(C4 H12 N2 2+)4n,n(H8 Ge18 O44 8-),2n(H2 O1)"
ABEREE,0,Cc1ccncc1,[],"['O', 'W']",['W'],['O'],W6 O19,"2(C6 H8 N1 1+),2(C6 H7 N1),O19 W6 2-"
ABESIL,2,NCCN,[1],"['O', 'P', 'U']",['U'],"['O', 'P']",U1 P2 O8,"(O8 P2 U1 2-)n,n(C2 H10 N2 2+)"
ABESUX,3,NCCCCN,[1],"['O', 'P', 'U']",['U'],"['O', 'P']",U5 P4 H2 O27,"(H2 O27 P4 U5 2-)n,n(C4 H14 N2 2+)"
ABETAE,3,NCCCCCN,[1],"['O', 'P', 'U']",['U'],"['O', 'P']",U5 P4 H2 O27,"(H2 O27 P4 U5 2-)n,n(C5 H16 N2 2+)"
ABOCEA,0,Cc1cccc(C)n1,[],"['O', 'W']",['W'],['O'],H2 W12 O40,"4(C7 H10 N1 1+),H2 O40 W12 4-,4(H2 O1)"
ABOCIE,0,c1ccncc1,[],"['O', 'W']",['W'],['O'],H2 W12 O40,"4(C5 H6 N1 1+),H2 O40 W12 4-"
ABULIV,2,CCN,[1],"['Be', 'O', 'P']",['Be'],"['O', 'P']",Be2 P2 H3 O9,"(H3 Be2 O9 P2 1-)n,n(C2 H8 N1 1+),0.5n(H2 O1)"
ABULOB,3,NCCCCCCN,[0],"['Be', 'O', 'P']",['Be'],"['O', 'P']",Be3 P4 H4 O12,"(H4 Be3 O12 P4 2-)n,n(C6 H18 N2 2+)"
ABUNOB,0,N=C(N)N,[],"['O', 'Ta']",['Ta'],['O'],Ta1 O8,"3(C1 H6 N3 1+),O8 Ta1 3-"
ABUNOC,2,C1CN2CCN1CC2,[2],"['O', 'Pr', 'S']",['Pr'],"['O', 'S']",Pr1 H4 S2 O10,"(H4 O10 Pr1 S2 1-)n,n(C6 H14 N2 2+),0.5n(O4 S1 2-),3n(H2 O1)"
ABUNUI,2,C1CN2CCN1CC2,[2],"['Nd', 'O', 'S']",['Nd'],"['O', 'S']",Nd1 H4 S2 O10,"(H4 Nd1 O10 S2 1-)n,n(C6 H14 N2 2+),0.5n(O4 S1 2-),3n(H2 O1)"
ACADEO,1,C1CNCCN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']",V4 H16 Se4 O24,"(H16 O24 Se4 V4)n,2n(C4 H12 N2 2+),2n(O4 S1 2-)"
ACAGET,0,c1cnc2cccnc2c1,[4],"['C', 'Cr', 'O']",['Cr'],"['C', 'O']",Cr1 H4 C4 O10,"C4 H4 Cr1 O10 1-,C8 H7 N2 1+,2(H2 O1)"
ACAHIW,2,CCCN(CCC)CCC,[4],"['C', 'Cr', 'Mn', 'O']","['Cr', 'Mn']","['C', 'O']",Mn1 Cr1 C6 O12,"(C6 Cr1 Mn1 O12 1-)n,n(C9 H22 N1 1+)"
ACIFOK,3,CNC,[2],"['O', 'S', 'Tb']",['Tb'],"['O', 'S']",Tb5 H6 S8 O38,"(H6 O38 S8 Tb5 7-)n,7(C2 H8 N1 1+),3(H2 O1)"
ACIFUQ,3,CNC,[2],"['Eu', 'O', 'S']",['Eu'],"['O', 'S']",Eu5 H6 S8 O38,"(H6 Eu5 O38 S8 7-)n,7(C2 H8 N1 1+),3(H2 O1)"
ACISAJ,3,CNC,[2],"['Dy', 'O', 'S']",['Dy'],"['O', 'S']",Dy5 H6 S8 O38,"(H6 Dy5 O38 S8 7-)n,7(C2 H8 N1 1+),3(H2 O1)"
ACISEN,3,CNC,[2],"['Er', 'O', 'S']",['Er'],"['O', 'S']",Er5 H6 S8 O38,"(H6 Er5 O38 S8 7-)n,7(C2 H8 N1 1+),3(H2 O1)"
ACISIR,3,CNC,[2],"['O', 'S', 'Sm']",['Sm'],"['O', 'S']",Sm5 H6 S8 O38,"(H6 O38 S8 Sm5 7-)n,7(C2 H8 N1 1+),3(H2 O1)"
ACOKOT,1,CC1CNCCN1,[1],"['Be', 'O', 'P']",['Be'],"['O', 'P']",Be6 P10 H10 O40,"(C5 H14 N2 2+)4n,n(H10 Be6 O40 P10 8-),2n(H2 O1)"
ACOKUZ,2,NCCCCCCN,[1],"['Be', 'O', 'P']",['Be'],"['O', 'P']",Be4 P4 H4 O18,"(C6 H18 N2 2+)n,n(H4 Be4 O18 P4 2-),n(H2 O1)"
ACOMEL,1,NCCN,[0],"['F', 'Fe', 'O', 'P']",['Fe'],"['F', 'O', 'P']",Fe1 P1 H1 O3 F3,"(C2 H10 N2 2+)n,n(H1 F3 Fe1 O3 P1 2-)"
ACOTER,0,NCCCCCCN,[],"['O', 'V']",['V'],['O'],V10 H2 O28,"H2 O28 V10 4-,2(C6 H18 N2 2+),2(H2 O1)"
ADALOG,3,NCCCCN,[],"['F', 'Ge', 'O']",['Ge'],"['F', 'O']",Ge14 O29 F4,"(F4 Ge14 O29 6-)n,3n(C4 H14 N2 2+),0.5n(C4 H12 N2),16n(H2 O1)"
ADIPUZ,0,c1cc(-c2ccncc2)ccn1,[5],"['Mo', 'O', 'Si', 'V']","['Mo', 'Si', 'V']",['O'],V2 Si1 Mo12 O42,"2(C10 H10 N2 2+),Mo12 O42 Si1 V2 4-,3(H2 O1)"
ADOKOT,3,C1CC2CCC1CNC2,[5],"['O', 'Si']",['Si'],['O'],Si4 O8,"(C8 H15 N1)0.25n,n(O8 Si4)"
ADOSES,3,NCCN,"[4, 1]","['C', 'Co', 'Na', 'O', 'P']","['Co', 'Na']","['C', 'O', 'P']",Na2 Co2 P2 H2 C4 O16,"(C4 H2 Co2 Na2 O16 P2 2-)n,n(C2 H10 N2 2+)"
AFEVUE,0,c1ccc(N=C(Nc2ccccc2)Nc2ccccc2)cc1,[],"['O', 'Re']",['Re'],['O'],Re1 O4,"C19 H18 N3 1+,O4 Re1 1-,0.5(H2 O1)"
AFEZIX,0,Nc1ccccc1N,[5],"['O', 'Si', 'W']","['Si', 'W']",['O'],Si1 W12 O40,"O40 Si1 W12 4-,3(C6 H9 N2 1+),H3 O1 1+,8(H2 O1)"
AFIVEQ,1,C1CNCCN1,"[6, 4]","['As', 'C', 'Fe', 'O']",['Fe'],"['As', 'C', 'O']",Fe2 As2 H4 C4 O18,"(C4 H12 N2 2+)2n,n(C4 H4 As2 Fe2 O18 4-),2n(H2 O1)"
AFIVOA,3,C1CNCCN1,[6],"['As', 'Fe', 'O']",['Fe'],"['As', 'O']",Fe3 As4 H2 O16,"(H2 As4 Fe3 O16 2-)n,n(C4 H12 N2 2+)"
AFOFUX,1,C1CN2CCN1CC2,[7],"['C', 'O', 'U']",['U'],"['C', 'O']",U3 H5 C2 O14,"(C6 H13 N2 1+)n,n(C2 H5 O14 U3 1-),4n(H2 O1)"
AFONAK,0,CC(N)c1ccccc1,[4],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']",Fe2 H8 C6 O16,"2(C8 H12 N1 1+),C6 H8 Fe2 O16 2-"
AGABUF,2,C1CCNCC1,"[1, 8]","['C', 'O', 'P', 'Zn']",['Zn'],"['C', 'O', 'P']",Zn2 P2 H4 C2 O10,"(C5 H12 N1 1+)2n,n(C2 H4 O10 P2 Zn2 2-)"
AGOKUF,0,c1ccncc1,[10],"['Cl', 'N', 'O', 'Pu']",['Pu'],"['Cl', 'N', 'O']",Pu1 N3 Cl3 O9,"Cl3 N3 O9 Pu1 2-,2(C5 H6 N1 1+)"
AGOPIX,0,NCc1cccc(CN)c1,[1],"['Co', 'O', 'P']",['Co'],"['O', 'P']",Co1 P4 H8 O16,"H8 Co1 O16 P4 2-,C8 H14 N2 2+,2(H2 O1)"
AGOSIY,2,NCCCN,[2],"['Cd', 'O', 'S']",['Cd'],"['O', 'S']",Cd2 H4 S3 O14,"(C3 H12 N2 2+)n,n(H4 Cd2 O14 S3 2-)"
AGUZIL,0,CCN(CC)CC,[11],"['As', 'O', 'V']",['V'],"['As', 'O']",V12 As8 O40,"4(C6 H16 N1 1+),As8 O40 V12 4-,2(H2 O1)"
AHIZEX,2,C1CN2CCN1CC2,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn7 P8 H5 O32,"(H5 O32 P8 Zn7 3-)n,n(C6 H14 N2 2+),n(C6 H13 N2 1+),n(H2 O1)"
AHOJUC,3,NCCN,[0],"['O', 'P', 'V']",['V'],"['O', 'P']",V2 P4 H4 O12,"(C2 H10 N2 2+)n,n(H4 O12 P4 V2 2-)"
AHOKAJ,3,NCCN,[0],"['Fe', 'O', 'P']",['Fe'],"['O', 'P']",Fe2 P4 H4 O12,"(H4 Fe2 O12 P4 2-)n,n(C2 H10 N2 2+)"
AHOKUD,2,NCCCN,[1],"['O', 'P', 'Ti']",['Ti'],"['O', 'P']",Ti3 P4 H4 O20,"(C3 H12 N2 2+)2n,n(H4 O20 P4 Ti3 4-),2n(H2 O1)"
AHUROM,1,c1cn(CCCCn2ccnc2)cn1,[1],"['Ca', 'Fe', 'Mo', 'O', 'P']","['Ca', 'Fe', 'Mo']","['O', 'P']",Ca1 Fe1 Mo18 P6 H4 O75,"(C10 H16 N4 2+)3n,n(H4 Ca1 Fe1 Mo18 O75 P6 6-),4n(H2 O1)"
AHUSED,1,c1cn(CCCCCCn2ccnc2)cn1,[1],"['Ca', 'Cu', 'Mo', 'O', 'P']","['Ca', 'Cu', 'Mo']","['O', 'P']",Ca1 Cu1 Mo18 P6 H4 O75,"(C12 H20 N4 2+)3n,n(H4 Ca1 Cu1 Mo18 O75 P6 6-),2n(H2 O1)"
AHUSIH,0,CNC,[0],"['O', 'P', 'W']",['W'],"['O', 'P']",P2 H6 W18 O64,"8(C2 H8 N1 1+),H6 O64 P2 W18 8-,20(H2 O1)"
AJARUY,1,NCCN,[1],"['O', 'P', 'Sn']",['Sn'],"['O', 'P']",Sn6 P8 H12 O38,"(H12 O38 P8 Sn6)0.5n,2.5n(C2 H8 N2),2n(H2 O1)"
AJESEN,0,N=C(N)N,[4],"['C', 'O', 'Pt']",['Pt'],"['C', 'O']",Pt1 C4 O8,"2(C1 H6 N3 1+),C4 O8 Pt1 2-"
AJEWER,1,CN1CCNCC1,[2],"['O', 'S', 'U']",['U'],"['O', 'S']",U2 H4 S4 O22,"(C5 H14 N2 2+)2n,n(H4 O22 S4 U2 4-)"
AJEWIV,1,NCCN,[2],"['Mo', 'O', 'S']",['Mo'],"['O', 'S']",Mo2 S4 O20,"(C2 H10 N2 2+)2n,n(Mo2 O20 S4 4-)"
AJIQEQ,2,NCCNCCN,[],"['O', 'Te', 'V']","['Te', 'V']",['O'],V2 Te2 O10,"(C4 H15 N3 2+)n,n(O10 Te2 V2 2-),2n(H2 O1)"
AJIRIV,2,NCCCN,[],"['O', 'Te', 'V']","['Te', 'V']",['O'],V2 Te1 O8,"(C3 H12 N2 2+)n,n(O8 Te1 V2 2-)"
AJODOV,0,c1cc(CCCc2ccncc2)ccn1,[1],"['Gd', 'Mo', 'O', 'P']","['Gd', 'Mo']","['O', 'P']",Gd1 Mo18 P6 H1 O73,"H1 Gd1 Mo18 O73 P6 6-,3(C13 H16 N2 2+),5.5(H2 O1)"
AJOSAT,2,CN,[],"['O', 'V']",['V'],['O'],V2 O5,"(C1 H6 N1 1+)n,n(O5 V2 1-)"
AJOTEY,3,N=C(N)N,[0],"['O', 'P', 'V']",['V'],"['O', 'P']",V3 P4 H10 O18,"(C1 H6 N3 1+)2n,n(H10 O18 P4 V3 2-),3n(H2 O1)"
AJUKAS,0,C1CCCNCC1,[5],"['O', 'Si']",['Si'],['O'],Si16 H8 O40,"8(C6 H14 N1 1+),H6 O20 Si8 2-,H2 O20 Si8 6-,24(H2 O1)"
AKELAF,0,C1CCNC1,[],"['Mo', 'O']",['Mo'],['O'],Mo8 O26,"Mo8 O26 4-,4(C4 H10 N1 1+)"
AKOHEO,3,NCCN,[1],"['Fe', 'Mo', 'O', 'P']","['Fe', 'Mo']","['O', 'P']",Fe3 Mo12 P8 H12 O64,"(C2 H10 N2 2+)3n,n(C2 H9 N2 1+),n(H12 Fe3 Mo12 O64 P8 7-),3n(H2 O1)"
ALABIY,1,NCCN,[13],"['Cd', 'O', 'Se']",['Cd'],"['O', 'Se']",Cd1 H4 Se2 O10,"(C2 H10 N2 2+)n,n(H4 Cd1 O10 Se2 2-)"
ALECUP,2,NCCN(CCN)CCN,"[4, 1]","['C', 'Mn', 'O', 'P']",['Mn'],"['C', 'O', 'P']",Mn4 P2 H2 C10 O28,"(C6 H21 N4 3+)2n,n(C10 H2 Mn4 O28 P2 6-),6n(H2 O1)"
ALEDAW,2,NCCN(CCN)CCN,"[4, 1]","['C', 'Fe', 'O', 'P']",['Fe'],"['C', 'O', 'P']",Fe4 P2 H2 C10 O28,"(C6 H21 N4 3+)2n,n(C10 H2 Fe4 O28 P2 6-),6n(H2 O1)"
ALIQUH,3,C1CNCCN1,[4],"['C', 'Mn', 'O']",['Mn'],"['C', 'O']",Mn2 C6 O12,"(C6 Mn2 O12 2-)n,n(C4 H12 N2 2+)"
ALUPIH,1,C1CNCCNCCCNCCNC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn2 P4 H4 O12,"(C10 H28 N4 4+)n,n(H4 O12 P4 Zn2 4-)"
ALUPON,2,C1CNCCNCCCNCCNC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn2 P3 H3 O9,"(H3 O9 P3 Zn2 2-)n,0.5n(C10 H28 N4 4+)"
AMAKIK,0,Nc1ccncc1,[2],"['Cd', 'O', 'S']",['Cd'],"['O', 'S']",Cd1 H8 S2 O12,"H8 Cd1 O12 S2 2-,2(C5 H7 N2 1+),4(H2 O1)"
AMAKOQ,0,Nc1ccncc1,[2],"['Mn', 'O', 'S']",['Mn'],"['O', 'S']",Mn1 H8 S2 O12,"H8 Mn1 O12 S2 2-,2(C5 H7 N2 1+)"
AMATEP,0,Nc1ccncc1,[2],"['Cd', 'O', 'S']",['Cd'],"['O', 'S']",Cd1 H8 S2 O12,"H8 Cd1 O12 S2 2-,2(C5 H7 N2 1+)"
AMAVER,0,Nc1ccncc1,[2],"['Fe', 'O', 'S']",['Fe'],"['O', 'S']",Fe1 H8 S2 O12,"H8 Fe1 O12 S2 1-,C5 H7 N2 1+"
AMAVUH,0,Nc1ccncc1,[2],"['Mn', 'O', 'S']",['Mn'],"['O', 'S']",Mn1 H8 S2 O12,"H8 Mn1 O12 S2 2-,2(C5 H7 N2 1+),4(H2 O1)"
AMIYIG,3,NCCCCN,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']",Fe2 H6 C6 O12,"C4 H14 N2 2+,n(C6 H6 Fe2 O12 2-)"
AMIYOM,3,NCCCCN,[7],"['C', 'Co', 'O']",['Co'],"['C', 'O']",Co24 H72 C72 O144,"(C72 H72 Co24 O144 24-)n,12(C4 H14 N2 2+)"
AMIZAZ,3,NCCCCN,[7],"['C', 'Ni', 'O']",['Ni'],"['C', 'O']",Ni2 H6 C6 O12,"(C6 H6 Ni2 O12 2-)n,C4 H14 N2 2+"
AMIZON,3,NCCCCN,[7],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']",Cu4 H12 C12 O24,"2(C4 H14 N2 2+),n(C12 H12 Cu4 O24 4-)"
AMOBEL,3,NCCCCN,[7],"['C', 'O', 'Zn']",['Zn'],"['C', 'O']",Zn24 H72 C72 O144,"(C72 H72 O144 Zn24 24-)n,12(C4 H14 N2 2+)"
AMOGIS,0,C1CN=C2NCCCN2C1,[],"['O', 'Tc']",['Tc'],['O'],Tc1 O4,"C7 H14 N3 1+,O4 Tc1 1-"
AMOGOY,0,C1CN=C2NCCCN2C1,[],"['O', 'Re']",['Re'],['O'],Re1 O4,"C7 H14 N3 1+,O4 Re1 1-"
AMOGUE,0,C=CCC1(CC=C)CCN2CCC(CC=C)(CC=C)NC2=N1,[],"['O', 'Tc']",['Tc'],['O'],Tc1 O4,"C19 H30 N3 1+,O4 Tc1 1-"
AMOHAL,0,C=CCC1(CC=C)CCN2CCC(CC=C)(CC=C)NC2=N1,[],"['O', 'Re']",['Re'],['O'],Re1 O4,"C19 H30 N3 1+,O4 Re1 1-"
AMOHEP,0,c1ccc(C2(c3ccccc3)CCN3CCC(c4ccccc4)(c4ccccc4)NC3=N2)cc1,[],"['O', 'Tc']",['Tc'],['O'],Tc1 O4,"C31 H30 N3 1+,O4 Tc1 1-,C7 H8,C6 H6"
AMOMUM,3,NCCCCN,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']",Fe2 H6 C6 O12,"(C6 H6 Fe2 O12 2-)n,C4 H14 N2 2+"
AMONAT,3,NCCCCN,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']",Fe2 H6 C6 O12,"(C6 H6 Fe2 O12 2-)n,C4 H14 N2 2+"
AMURUX,3,NCCCCN,[7],"['C', 'Mg', 'O']",['Mg'],"['C', 'O']",Mg2 H6 C6 O12,"(C4 H14 N2 2+)n,n(C6 H6 Mg2 O12 2-)"
ANEFIK,2,CCCN(CCC)CCC,[4],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']",Cu2 C6 O12,"(C9 H22 N1 1+)2n,n(C6 Cu2 O12 2-),2n(H2 O1)"
APIPUL,0,CCN(CC)CC,[8],"['C', 'O', 'U']",['U'],"['C', 'O']",U1 H9 C6 O8,"C6 H16 N1 1+,C6 H9 O8 U1 1-"
APIZEF,0,NCCN,[],"['O', 'W']",['W'],['O'],H6 W12 O42,"3(C2 H10 N2 2+),H6 O42 W12 6-,2.5(H2 O1)"
APOFIV,0,CCN(CC)CC,[8],"['C', 'O', 'Zn']",['Zn'],"['C', 'O']",Zn7 H36 C24 O26,"2(C6 H16 N1 1+),C24 H36 O26 Zn7 2-"
APOGOD,3,CNC,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']",Fe6 H18 C18 O36,"(C18 H18 Fe6 O36 3-)n,3n(C2 H8 N1 1+)"
APOZIO,0,NCCN,"[2, 11]","['As', 'O', 'S', 'V']",['V'],"['As', 'O', 'S']",V28 As16 S2 O92,"6(C2 H10 N2 2+),As8 O46 S1 V14 6-,As8 O46 S1 V14 6-,8(H2 O1)"
AQOURI,0,c1c[nH]cn1,[10],"['N', 'O', 'U']",['U'],"['N', 'O']",U2 H4 N4 O18,"2(C3 H4 N2),H4 N4 O18 U2"
AQUPAE,2,NCCN,[2],"['Co', 'O', 'S']",['Co'],"['O', 'S']",Co9 H6 S9 O42,"(C2 H10 N2 2+)3n,n(H6 Co9 O42 S9 6-)"
ARABIF,0,NCCN1CCNCC1,[],"['Ge', 'O', 'V']","['Ge', 'V']",['O'],V14 Ge8 O50,"Ge8 O50 V14 4-,4(C6 H16 N3 1+),13(H2 O1),2(C6 H15 N3)"
AROYOW,0,Nc1cccnc1,[],"['O', 'V']",['V'],['O'],V10 O28,"O28 V10 6-,6(C5 H7 N2 1+),2(H2 O1)"
ARUFIC,3,NCCCN,[6],"['As', 'F', 'Ga', 'O']",['Ga'],"['As', 'F', 'O']",Ga3 As3 H1 O13 F1,"(C3 H12 N2 2+)n,n(H1 As3 F1 Ga3 O13 2-),n(H2 O1)"
ARUYOB,3,NCc1cccc(CN)c1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn3 P4 H4 O12,"(H4 O12 P4 Zn3 2-)n,n(C8 H14 N2 2+)"
ARUYUH,3,CCCN,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn3 P4 H4 O12,"(C3 H10 N1 1+)2n,n(H4 O12 P4 Zn3 2-)"
ASEMIU,0,NCCN,[],"['O', 'Sb', 'V']","['Sb', 'V']",['O'],V14 Sb8 O42,"2(C2 H10 N2 2+),O42 Sb8 V14 4-,C2 H8 N2,5(H2 O1)"
ASEQIA,2,NC1CN2CCC1CC2,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']",V3 Se3 O14,"(O14 Se3 V3 2-)n,C7 H16 N2 2+,H2 O1"
ASEQOG,2,NC1CCNC1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']",V3 Se3 O14,"(O14 Se3 V3 2-)n,C4 H12 N2 2+"
ASEQUM,2,NCCCCN,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']",V3 Se3 O14,"(O14 Se3 V3 2-)n,C4 H14 N2 2+"
ASERAT,2,NCCCNCCCCNCCCN,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']",V3 Se3 O14,"(C10 H30 N4 4+)0.5n,n(O14 Se3 V3 2-)"
ASEREX,2,NCCCN,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']",V3 Se3 O14,"(O14 Se3 V3 2-)n,n(C3 H12 N2 2+),n(H2 O1)"
ASERIB,2,NCC1CCCCN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']",V3 Se3 O14,"(O14 Se3 V3 2-)n,n(C6 H16 N2 2+),n(H2 O1)"
ASEZOP,0,c1cc(CCCc2ccncc2)ccn1,[1],"['Mo', 'Ni', 'O', 'P']","['Mo', 'Ni']","['O', 'P']",Ni1 Mo12 P8 H16 O62,"3(C13 H16 N2 2+),H16 Mo12 Ni1 O62 P8 6-,6.5(H2 O1)"
ASEZUV,0,c1cc(CCCc2ccncc2)ccn1,[1],"['Cd', 'Mo', 'O', 'P']","['Cd', 'Mo']","['O', 'P']",Cd2 Mo24 P16 H30 O124,"5(C13 H16 N2 2+),4(H3 O1 1+),H16 Cd1 Mo12 O62 P8 6-,H14 Cd1 Mo12 O62 P8 8-,6(H2 O1)"
ASIBAH,2,c1cc(CCCc2ccncc2)ccn1,[1],"['Cd', 'Mo', 'O', 'P']","['Cd', 'Mo']","['O', 'P']",Cd5 Mo12 P8 H22 O68,"2(C13 H16 N2 2+),n(H22 Cd5 Mo12 O68 P8 4-),8(H2 O1)"
ASOJAT,2,NCCN,[1],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']",Mn2 P2 H4 O10,"(C2 H10 N2 2+)n,n(H4 Mn2 O10 P2 2-)"
ASOWEK,1,C1CN2CCN1CC2,[],"['Mo', 'O']",['Mo'],['O'],Mo4 O13,"(C6 H14 N2 2+)n,n(Mo4 O13 2-),2n(H2 O1)"
ASOXOV,0,C1CN2CCN1CC2,[4],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']",Cu2 H4 C8 O18,"2(C6 H14 N2 2+),C8 H4 Cu2 O18 4-,4(H2 O1)"
ATAHEI,2,NCCN,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']",V1 Se2 O7,"(C2 H10 N2 2+)n,n(O7 Se2 V1 2-)"
ATECIN,0,Nc1ccccn1,[1],"['Cu', 'Mo', 'O', 'P']","['Cu', 'Mo']","['O', 'P']",Cu2 Mo10 P4 H14 O52,"H14 Cu2 Mo10 O52 P4 6-,6(C5 H7 N2 1+),4(H2 O1)"
AWAJOY,0,CNC,[],"['O', 'Sb', 'W']","['Sb', 'W']",['O'],Sb1 H2 W18 O60,"7(C2 H8 N1 1+),H2 O60 Sb1 W18 7-,6(H2 O1)"
AWASEW,2,NCCNCCNCCNCCN,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']",Ga6 P7 H6 O32,"(C8 H28 N5 5+)n,n(H6 Ga6 O32 P7 5-),3n(H2 O1)"
AWEFAK,1,CC1CNCCN1,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']",Ga2 P4 H2 O16,"(C5 H14 N2 2+)2n,n(H2 Ga2 O16 P4 4-)"
AWEFIS,1,CN1CCNCC1,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']",Ga2 P4 H2 O16,"(C5 H14 N2 2+)2n,n(H2 Ga2 O16 P4 4-)"
AWEKUI,2,C1CNCCN1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn4 P6 H4 O24,"(C4 H12 N2 2+)3n,n(H4 O24 P6 Zn4 6-),2n(H2 O1)"
AWIFER,2,NCCN,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn2 P3 H3 O9,"(H3 O9 P3 Zn2 2-)n,n(C2 H10 N2 2+)"
AWIPUT,1,c1cc(CCCc2ccncc2)ccn1,[],"['Co', 'Mo', 'O', 'Zn']","['Co', 'Mo', 'Zn']",['O'],Zn1 Co2 Mo10 H12 O42,"(H12 Co2 Mo10 O42 Zn1 4-)n,2n(C13 H16 N2 2+),2n(H2 O1)"
AWOJIG,0,CNCCNC,[4],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']",Cu1 C4 O8,"C4 H14 N2 2+,C4 Cu1 O8 2-"
AWOPOS,0,Cc1ccnc(N)c1,[],"['O', 'V']",['V'],['O'],V4 O12,"4(C6 H9 N2 1+),O12 V4 4-,4(H2 O1)"
AWOQAF,0,CCN(CC)CC,[8],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']",Fe3 H26 C16 O18,"C6 H16 N1 1+,C16 H26 Fe3 O18 1-,C7 H8"
AXAFAG,3,C1CN2CCN1CC2,[1],"['F', 'O', 'P', 'U']",['U'],"['F', 'O', 'P']",U6 P6 H8 O38 F2,"(C6 H14 N2 2+)2n,n(H8 F2 O38 P6 U6 4-),4n(H2 O1)"
AXAFEK,3,NCCN,[],"['Ge', 'O']",['Ge'],['O'],Ge9 H2 O21,"(C2 H10 N2 2+)2n,0.5n(C2 H8 N2),n(H2 Ge9 O21 4-),n(H2 O1)"
AXOHOL,1,CC1CNC(C)CN1,[],"['O', 'Te', 'V']","['Te', 'V']",['O'],V2 Te2 O10,"(C6 H16 N2 2+)n,n(O10 Te2 V2 2-)"
AXOHUR,2,CC1CNCCN1,[],"['O', 'Te', 'V']","['Te', 'V']",['O'],V2 Te2 O10,"(C5 H14 N2 2+)n,n(O10 Te2 V2 2-)"
AXORUB,0,c1ccncc1,[1],"['O', 'P', 'W']",['W'],"['O', 'P']",P1 W12 O40,"O40 P1 W12 3-,3(C5 H6 N1 1+),2(C2 H3 N1)"
AXUPEO,3,C1CN2CCN1CC2,[1],"['Al', 'Mn', 'O', 'P']","['Al', 'Mn']","['O', 'P']",Mn1 Al3 P4 H4 O18,"(C6 H14 N2 2+)0.5n,n(H4 Al3 Mn1 O18 P4 1-)"
AYEJIY,2,NCCNCCN,[2],"['Nd', 'O', 'S']",['Nd'],"['O', 'S']",Nd1 H2 S3 O13,"(H2 Nd1 O13 S3 3-)n,n(C4 H16 N3 3+)"
AYEJOE,1,NCCNCCN,[2],"['Ho', 'O', 'S']",['Ho'],"['O', 'S']",Ho1 H4 S3 O14,"(C4 H16 N3 3+)n,n(H4 Ho1 O14 S3 3-)"
AYEMAT,2,NCCCCCCCCCN,"[13, 3]","['O', 'Se', 'U']",['U'],"['O', 'Se']",U2 H2 Se4 O18,"(H2 O18 Se4 U2 2-)n,2n(C9 H24 N2 2+),2n(N1 O3 1-)"
AYILOK,3,NCCN,[1],"['O', 'P', 'V']",['V'],"['O', 'P']",V4 P6 H8 O28,"(H8 O28 P6 V4)n,2n(C2 H8 N2)"
AYIMIF,0,NCCN,[2],"['Cd', 'O', 'S']",['Cd'],"['O', 'S']",Cd1 H8 S2 O12,"C2 H10 N2 2+,H8 Cd1 O12 S2 2-"
